"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.679,3.98,0.693,3.97,0.14,2.67,0.053,0.5
16,9.5,0.762,9.52,0.822,9.52,0.14,2.89,0.071,0.9
26,8.4,2.986,8.39,2.912,8.37,0.18,4.196,0.142,2.9
36,6.5,0.972,6.51,0.84,6.51,0.21,5.155,0.083,0.3
46,4.6,1.612,4.65,1.582,4.68,0.17,5.472,0.133,1.3
56,3.5,0.605,3.53,0.493,3.56,0.26,5.715,0.083,0.1
66,4.3,0.338,4.29,0.275,4.32,0.25,5.732,0.078,0.5
76,3,0.388,3,0.526,2.99,0.29,5.77,0.091,0.7
86,2,1.317,1.92,1.605,1.93,0.28,6.019,0.13,1.5
96,1.8,0.772,1.8,0.419,1.77,0.26,6.249,0.08,0.3
106,1.6,1.414,1.59,1.749,1.67,0.27,6.509,0.187,1.9
116,2,0.38,1.99,0.58,1.94,0.32,6.784,0.111,0.1
126,1.4,0.231,1.4,0.288,1.39,0.31,6.764,0.086,0.5
136,1.1,0.442,1.1,0.626,1.07,0.32,6.756,0.103,1.1
146,1,0.289,0.99,0.192,0.96,0.29,6.853,0.103,0.9
