"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.076,4,0.082,4.01,0.1,2.507,0.037,0.1
16,9.5,1.596,9.5,1.56,9.49,0.14,2.953,0.081,1.5
26,8.4,2.949,8.33,3.176,8.36,0.19,4.581,0.123,3.3
36,6.5,2.041,6.46,2.357,6.5,0.28,6.06,0.157,2.3
46,4.6,4.608,4.45,4.852,4.43,0.39,8.084,0.248,4.9
56,3.5,5.754,3.11,5.745,3.12,0.6,10.992,0.339,4.9
66,4.3,0.119,4.3,0.243,4.32,0.54,12.47,0.184,1.5
76,3,0.85,3.05,0.783,2.95,0.58,12.522,0.185,0.3
86,2,1.477,2.04,0.965,2.03,0.53,12.383,0.177,1.7
96,1.8,0.542,1.78,0.868,1.79,0.55,12.425,0.164,0.3
106,1.6,0.293,1.57,0.684,1.47,0.49,12.575,0.206,0.7
116,2,0.076,2,0.349,1.96,0.46,12.541,0.16,1.9
126,1.4,0.282,1.39,0.317,1.27,0.57,12.495,0.18,0.9
136,1.1,1.232,1.14,1.456,1.18,0.56,12.417,0.176,1.7
146,1,0.573,1.05,0.606,1.07,0.48,12.369,0.186,0.9
