"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.167,4.05,3.188,4.06,0.21,4.106,0.124,3.1
16,9.5,0.102,9.49,0.081,9.51,0.25,5.229,0.072,0.9
26,8.4,0.525,8.39,0.302,8.4,0.18,5.22,0.069,0.9
36,6.5,1.633,6.49,1.708,6.51,0.24,5.498,0.137,2.1
46,4.6,2.284,4.58,2.404,4.59,0.31,6.234,0.181,2.5
56,3.5,2.524,3.52,2.521,3.55,0.3,7.142,0.178,2.7
66,4.3,0.29,4.31,0.437,4.23,0.23,7.609,0.097,0.7
76,3,0.765,3,0.451,2.96,0.34,7.65,0.106,0.5
86,2,0.573,1.96,0.652,1.97,0.34,7.635,0.116,0.7
96,1.8,0.846,1.78,0.756,1.77,0.35,7.662,0.112,0.9
106,1.6,2.803,1.8,2.422,1.85,0.4,8.095,0.176,2.7
116,2,0.18,2,0.294,1.98,0.42,8.463,0.109,0.7
126,1.4,1.293,1.31,1.568,1.35,0.36,8.594,0.14,1.5
136,1.1,1.263,1.07,0.897,1.12,0.38,8.719,0.14,1.9
146,1,0.176,1,0.294,1.01,0.51,8.839,0.131,1.1
