"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.749,4,0.75,3.98,0.14,2.701,0.059,0.7
16,9.5,0.5,9.5,0.534,9.49,0.14,2.876,0.04,0.5
26,8.4,0.863,8.39,0.771,8.4,0.11,3.022,0.062,0.7
36,6.5,1.153,6.46,1.074,6.47,0.16,3.287,0.092,1.3
46,4.6,0.859,4.56,0.979,4.6,0.16,3.588,0.09,0.7
56,3.5,1.32,3.61,1.327,3.6,0.2,3.933,0.108,1.5
66,4.3,0.288,4.3,0.376,4.34,0.19,4.216,0.052,0.7
76,3,3.232,2.83,3.395,2.83,0.25,5.384,0.184,3.5
86,2,0.184,1.99,0.099,1.97,0.3,6.326,0.081,0.7
96,1.8,0.184,1.8,0.437,1.77,0.23,6.377,0.121,0.9
106,1.6,0.242,1.6,0.426,1.53,0.33,6.391,0.096,0.3
116,2,0.299,1.98,0.407,2.01,0.28,6.366,0.085,0.7
126,1.4,0.316,1.4,0.145,1.44,0.25,6.39,0.078,0.7
136,1.1,0.19,1.1,0.41,1.11,0.28,6.399,0.095,1.1
146,1,1.443,0.97,1.28,1.02,0.28,6.559,0.118,1.1
