"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.042,4.21,2.966,4.23,0.17,3.974,0.155,2.9
16,9.5,1.686,9.49,1.33,9.49,0.23,5.105,0.121,0.9
26,8.4,0.968,8.36,0.986,8.3,0.25,5.365,0.091,0.7
36,6.5,7.224,6.9,6.698,6.96,0.4,8.611,0.238,4.9
46,4.6,1.004,4.65,0.265,4.63,0.56,10.943,0.187,1.1
56,3.5,11.868,5.46,10.541,5.31,0.64,15.056,0.537,4.9
66,4.3,0.231,4.31,0.589,4.35,0.81,18.387,0.247,1.9
76,3,0.348,3.05,0.621,3.32,0.79,18.549,0.287,0.3
86,2,0.388,2.05,0.538,2.21,0.82,18.597,0.257,3.3
96,1.8,0.427,1.85,0.712,1.78,0.9,18.468,0.28,2.3
106,1.6,1.068,1.59,1.094,1.37,0.81,18.447,0.272,1.3
116,2,0.223,2.01,0.457,1.99,0.79,18.484,0.256,0.7
126,1.4,0.744,1.44,1.096,1.51,0.7,18.574,0.261,2.1
136,1.1,0.669,1.06,0.737,1.12,0.77,18.35,0.318,0.5
146,1,0.239,1.03,0.803,1.02,0.78,18.466,0.315,0.9
