"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.45,4.01,0.592,4,0.12,2.642,0.043,0.7
16,9.5,0.288,9.51,0.315,9.53,0.11,2.734,0.03,0.1
26,8.4,1.869,8.47,1.897,8.47,0.15,3.359,0.092,1.9
36,6.5,0.461,6.52,0.482,6.59,0.14,3.869,0.061,0.5
46,4.6,4.097,4.55,4.199,4.57,0.22,5.737,0.207,4.1
56,3.5,2.951,3.73,2.714,3.69,0.32,7.605,0.245,2.9
66,4.3,0.278,4.32,0.117,4.46,0.3,8.109,0.135,0.7
76,3,1.284,3.04,1.597,3.06,0.48,8.229,0.1,1.9
86,2,1.293,1.93,1.066,1.96,0.38,8.495,0.15,1.5
96,1.8,0.292,1.81,0.355,1.87,0.4,8.495,0.121,1.3
106,1.6,0.841,1.64,1.001,1.57,0.35,8.572,0.114,1.1
116,2,0.668,2.03,0.562,2.08,0.37,8.661,0.13,1.1
126,1.4,0.27,1.41,0.495,1.39,0.39,8.604,0.119,0.1
136,1.1,1.379,1.22,0.464,1.13,0.42,8.689,0.128,0.5
146,1,0.387,1.01,0.12,1.05,0.36,8.611,0.117,0.1
