"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,6.859,4.05,6.774,4.16,0.28,7.245,0.223,4.9
16,9.5,0.381,9.5,0.434,9.57,0.42,9.806,0.165,1.1
26,8.4,7.727,8.71,7.114,8.82,0.42,12.229,0.444,4.9
36,6.5,0.594,6.5,0.653,6.48,0.74,14.104,0.222,1.5
46,4.6,10.248,3.9,10.815,3.97,0.76,17.742,0.49,4.9
56,3.5,1.591,3.56,1.185,3.6,0.85,20.754,0.296,0.7
66,4.3,0.29,4.32,0.335,4.35,0.93,20.957,0.304,0.3
76,3,1.351,3.44,3.293,3.49,0.96,20.516,0.284,0.9
86,2,0.591,1.9,1.968,1.84,0.86,20.235,0.328,1.9
96,1.8,0.079,1.8,0.368,1.58,0.87,20.474,0.29,2.1
106,1.6,1.347,2.1,3.334,2.06,0.9,20.27,0.348,1.5
116,2,1.517,1.76,2.727,1.7,0.85,20.159,0.247,3.1
126,1.4,0.789,1.37,0.297,1.45,1.04,20.329,0.259,2.1
136,1.1,0.708,1.25,1.471,1.08,0.92,20.241,0.236,0.7
146,1,0.614,0.79,2.515,0.89,0.85,20.396,0.305,3.5
