"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.004,3.99,1.043,4.01,0.12,2.801,0.078,1.1
16,9.5,0.748,9.53,0.754,9.54,0.13,3.11,0.059,0.9
26,8.4,0.747,8.38,0.852,8.4,0.11,3.285,0.063,0.9
36,6.5,1.114,6.5,1.144,6.49,0.17,3.573,0.088,1.1
46,4.6,1.42,4.61,1.341,4.58,0.17,3.988,0.105,1.1
56,3.5,0.477,3.53,0.529,3.53,0.18,4.255,0.063,0.1
66,4.3,0.092,4.3,0.078,4.27,0.18,4.268,0.071,0.1
76,3,0.661,2.99,0.635,2.99,0.21,4.309,0.064,0.7
86,2,0.911,2.05,0.924,2.05,0.23,4.467,0.081,0.9
96,1.8,0.992,1.77,0.996,1.76,0.18,4.688,0.112,1.1
106,1.6,0.256,1.6,0.326,1.59,0.21,4.748,0.068,0.5
116,2,0.852,2,0.932,1.94,0.22,4.865,0.097,1.3
126,1.4,0.517,1.38,0.524,1.4,0.21,4.966,0.073,0.7
136,1.1,0.97,1.11,1.087,1.08,0.22,5.157,0.109,0.3
146,1,0.347,1,0.483,1.05,0.25,5.299,0.068,0.7
