"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.272,3.99,0.318,3.98,0.12,2.685,0.035,0.3
16,9.5,0.228,9.5,0.282,9.51,0.12,2.686,0.037,0.1
26,8.4,0.968,8.37,0.993,8.38,0.13,2.893,0.085,1.1
36,6.5,1.125,6.53,1.091,6.5,0.14,3.219,0.094,1.1
46,4.6,0.203,4.61,0.094,4.57,0.15,3.393,0.042,0.3
56,3.5,1.425,3.54,1.232,3.58,0.18,3.645,0.102,1.3
66,4.3,1.064,4.31,1.043,4.34,0.18,3.918,0.099,1.3
76,3,1.864,2.94,1.804,2.9,0.22,4.5,0.135,1.7
86,2,0.196,2,0.124,2.04,0.22,4.845,0.06,0.5
96,1.8,0.175,1.79,0.164,1.78,0.24,4.827,0.078,0.5
106,1.6,0.719,1.57,0.558,1.62,0.19,4.875,0.068,0.7
116,2,0.79,2.02,0.521,2.05,0.21,4.942,0.078,0.7
126,1.4,3.399,1.22,3.391,1.22,0.3,6.004,0.225,3.5
136,1.1,1.232,1.09,1.489,1.08,0.34,7.048,0.126,1.1
146,1,0.373,1.01,0.198,1,0.32,7.197,0.106,0.1
