"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.244,4,0.34,4,0.12,2.602,0.038,0.5
16,9.5,0.649,9.5,0.622,9.49,0.13,2.701,0.054,0.7
26,8.4,9.015,8.68,8.71,8.69,0.4,9.131,0.295,4.7
36,6.5,1.732,6.82,1.242,6.71,0.6,12.581,0.178,0.1
46,4.6,0.576,4.58,0.193,4.55,0.56,12.5,0.196,0.5
56,3.5,1.591,3.27,2.476,3.33,0.65,12.808,0.203,2.7
66,4.3,1.449,4.24,1.96,4.22,0.58,13.181,0.23,0.5
76,3,1.371,3.27,1.659,3.1,0.63,13.042,0.257,0.5
86,2,0.206,2,0.416,1.97,0.58,13.064,0.188,0.1
96,1.8,0.295,1.79,0.444,1.7,0.58,13.151,0.198,0.3
106,1.6,0.727,1.6,1.144,1.56,0.49,13.157,0.171,0.3
116,2,0.518,1.88,1.331,1.94,0.59,13.311,0.177,1.7
126,1.4,0.348,1.33,1.194,1.35,0.6,13.394,0.196,0.1
136,1.1,1.517,1.19,1.567,1.05,0.58,13.371,0.175,1.1
146,1,1.478,0.93,1.048,0.88,0.53,13.3,0.181,0.5
