"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.329,4.02,1.328,4.02,0.15,2.868,0.073,1.3
16,9.5,3.205,9.44,3.117,9.44,0.2,4.453,0.145,3.3
26,8.4,0.295,8.4,0.205,8.44,0.22,5.4,0.073,0.3
36,6.5,4.492,6.56,4.41,6.58,0.39,6.971,0.221,4.5
46,4.6,1.856,4.67,1.654,4.65,0.39,8.437,0.157,1.5
56,3.5,1.769,3.59,1.44,3.65,0.36,8.746,0.135,1.3
66,4.3,0.292,4.31,0.199,4.26,0.33,8.825,0.146,0.5
76,3,0.279,3.01,0.527,2.95,0.43,8.87,0.122,1.1
86,2,0.351,2,0.262,1.97,0.39,8.873,0.121,0.5
96,1.8,0.872,1.78,0.901,1.75,0.43,8.915,0.111,0.7
106,1.6,0.482,1.59,0.124,1.51,0.39,8.973,0.14,0.7
116,2,0.408,2.03,0.377,2.02,0.36,8.947,0.129,0.3
126,1.4,0.517,1.4,0.49,1.3,0.37,8.916,0.138,0.9
136,1.1,0.497,1.1,0.846,1.15,0.42,8.989,0.113,0.9
146,1,0.665,0.96,0.862,0.91,0.42,9.04,0.112,0.7
