"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.419,4.02,1.503,3.99,0.13,3.005,0.094,1.5
16,9.5,0.108,9.5,0.143,9.5,0.15,3.337,0.049,0.1
26,8.4,0.84,8.45,0.783,8.45,0.15,3.43,0.062,0.5
36,6.5,0.95,6.49,0.863,6.49,0.16,3.655,0.074,0.7
46,4.6,6.443,4.87,5.799,4.83,0.36,6.867,0.213,4.9
56,3.5,1.78,3.44,1.876,3.45,0.39,9.166,0.202,1.3
66,4.3,0.84,4.25,0.858,4.2,0.4,9.434,0.133,0.7
76,3,0.599,2.97,0.618,3.03,0.41,9.472,0.117,1.7
86,2,0.289,2,0.266,1.98,0.39,9.471,0.135,0.1
96,1.8,0.099,1.8,0.283,1.67,0.41,9.522,0.133,0.1
106,1.6,0.214,1.59,0.57,1.49,0.45,9.557,0.152,0.3
116,2,0.765,2,0.355,1.9,0.45,9.545,0.143,0.9
126,1.4,0.85,1.42,1.05,1.41,0.35,9.684,0.131,1.9
136,1.1,0.831,1.15,0.825,1.18,0.47,9.681,0.139,0.3
146,1,0.082,1,0.279,1.14,0.4,9.7,0.13,0.9
