"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.394,3.95,1.352,3.95,0.13,2.892,0.081,1.5
16,9.5,4.063,9.4,3.842,9.42,0.23,5.02,0.149,3.9
26,8.4,2.271,8.41,1.913,8.48,0.28,6.58,0.149,1.7
36,6.5,0.857,6.52,0.708,6.59,0.29,6.927,0.117,0.5
46,4.6,2.012,4.68,1.809,4.67,0.33,7.146,0.135,1.3
56,3.5,2.574,3.39,2.696,3.4,0.38,7.793,0.195,2.7
66,4.3,0.495,4.3,0.645,4.42,0.31,8.302,0.131,0.7
76,3,0.254,2.99,0.463,2.92,0.4,8.401,0.115,0.1
86,2,0.652,1.94,1.348,1.99,0.37,8.477,0.141,1.7
96,1.8,0.196,1.8,0.16,1.85,0.37,8.509,0.143,0.9
106,1.6,0.259,1.6,0.407,1.63,0.45,8.635,0.111,0.9
116,2,1.567,1.93,1.941,1.96,0.35,8.775,0.205,1.9
126,1.4,0.309,1.41,0.538,1.44,0.41,9.028,0.122,0.5
136,1.1,0.246,1.09,0.509,1.13,0.47,9.056,0.133,0.1
146,1,0.52,1.01,0.203,1.04,0.44,9.006,0.115,1.1
