"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,1.098,3.97,1.122,3.98,0.13,2.883,0.081,1.3
16,9.5,0.73,9.53,0.74,9.54,0.15,3.153,0.071,0.7
26,8.4,2.112,8.23,2.223,8.24,0.17,3.919,0.125,2.1
36,6.5,2.444,6.45,2.294,6.38,0.25,5.078,0.133,2.5
46,4.6,3.602,4.73,3.104,4.65,0.31,6.337,0.174,3.1
56,3.5,6.018,3.4,5.987,3.45,0.43,9.332,0.316,4.9
66,4.3,0.269,4.29,0.674,4.3,0.43,11.08,0.134,0.1
76,3,0.535,3.02,0.472,2.97,0.52,11.059,0.166,1.7
86,2,0.786,1.99,0.68,1.93,0.55,11.152,0.137,1.3
96,1.8,0.97,1.84,0.684,1.85,0.53,11.204,0.166,1.1
106,1.6,0.342,1.59,0.069,1.61,0.53,11.249,0.195,0.3
116,2,1.937,1.97,2.22,2.03,0.51,11.422,0.207,1.3
126,1.4,0.521,1.43,0.575,1.39,0.58,11.641,0.18,0.3
136,1.1,0.482,1.15,0.413,1.09,0.48,11.56,0.165,2.1
146,1,0.553,1.01,0.201,1.11,0.62,11.637,0.184,0.9
